context,declination,user,V2,V3,V4,V5,V6,V7,V8,V9,V10,confirmation_code,INTRO_1,ENG_1,CONSENT,IRB_FORM,AUDIO_1,TEST,AUDIO_2,INT1_2,INT2_2,INT3_3,INT_OTHER,AUDIO_3,EPI_S_1,EPI_S_2_2,AFF_S_2,SOC_1_2,SOC_2_2,INTP_S_2,SOC_OTHER,INTRO_2,AGE,GEN,HOME,LANG,LocationLatitude,LocationLongitude,LocationAccuracy
int_2,rise_100,R_3qmyIStsspaWo0C,Default Response Set,Anonymous,,,99.56.78.41,0,6/6/15 4:17,6/6/15 4:23,1,45525460,1,1,1,1,1,going out with friends or doing the laundry,1,94,91,50,,1,4,,20,30,95,81,,1,6,2,"Cantonment, FL",English,30.61579895,-87.31620026,-1
int_2,rise_100,R_2Vkcgcsg53jRutm,Default Response Set,Anonymous,,,66.68.52.214,0,6/6/15 6:27,6/6/15 6:30,1,51905104,1,1,1,1,1,Outsude friends laundry,1,90,45,52,Wouls you like to do laundry?,1,4,,25,64,42,44,No,1,2,2,Austin,English,30.3795929,-97.67569733,-1
int_2,rise_100,R_cVjYAAaEmjrkiQN,Default Response Set,Anonymous,,,184.156.216.74,0,6/6/15 6:49,6/6/15 6:53,1,17887696,1,1,1,1,1,friends vs chore,1,0,50,100,Not really. These cover the options pretty well. ,1,3,100,0,49,99,51,Maybe he's optimistic that she'll feel responsible enough to do the laundry first before hanging out with her friends?,1,4,1,"Mt. Juliet, TN",English,35.08900452,-93.94909668,-1
int_2,rise_100,R_32Kq9OKtjJU1ZJ2,Default Response Set,Anonymous,,,98.111.253.135,0,6/6/15 6:56,6/6/15 6:58,1,50464884,1,1,1,1,1,the girl is going outside to hang out with her friends. the man asks if she wants to do the laundry.,1,21,99,20,no,1,4,,0,10,100,50,he seems friendly,1,2,1,"Pittsburgh, PA, USA",English,40.3690033,-80.04570007,-1
int_2,rise_100,R_2whvXQSE4kIiudX,Default Response Set,Anonymous,,,108.210.94.56,0,6/6/15 8:53,6/6/15 8:57,1,76150799,1,1,1,1,1,going outside,1,30,100,100,Can you do the laundry before you go outside?,1,3,60,0,30,70,85,authoritative,1,2,1,Berwick,English,29.80279541,-90.79740143,-1
int_2,rise_100,R_2tg3wLrFtGwTsPE,Default Response Set,Anonymous,,,108.210.94.56,0,6/6/15 9:15,6/6/15 9:17,1,94712237,1,1,1,1,1,going out side ,1,100,100,40,nope,1,4,10,10,31,90,80,nope,1,3,2,chico,English,29.80279541,-90.79740143,-1
int_2,rise_100,R_umP1M5NvWhVXFJv,Default Response Set,Anonymous,,,68.104.39.145,0,6/6/15 10:23,6/6/15 10:26,1,72713671,1,1,1,1,1,going outside and laundry,1,0,100,28,no those are pretty much it,1,4,,0,0,100,100,friendly,1,2,2,"Honolulu, Hawaii",English,36.11129761,-115.2790985,-1
int_2,rise_100,R_1lfpcRTx8jM4a9q,Default Response Set,Anonymous,,,99.2.96.126,0,6/6/15 10:50,6/6/15 10:56,1,59647215,1,1,1,1,1,going out and if she want to do the landeny,1,5,90,40,is there something sles you should do,1,4,70,59,29,60,49,he not sure of what going on,1,6,2,"Lithonia, GA",english,33.74110413,-84.10929871,-1
int_2,rise_100,R_C96arwhGUnnETgR,Default Response Set,Anonymous,,,108.217.156.33,0,6/6/15 15:59,6/6/15 16:02,1,83547891,1,1,1,1,1,"Going outside, laundry",1,77,97,40,,1,4,,10,39,91,71,,1,4,1,Chicago,english,41.6269989,-88.20400238,-1
int_2,rise_100,R_3Ei1IMAHTGsHwEP,Default Response Set,Anonymous,,,173.186.212.152,0,6/6/15 17:10,6/6/15 17:14,1,62903504,1,1,1,1,1,Leisure time.,1,20,10,70,I can't think of any other that aren't already listed.,1,3,80,40,70,60,60,Stand offish. He's probably used to getting his way.,1,2,1,"Rochelle, GA",English,32.46139526,-83.60140228,-1
int_2,rise_100,R_0MQM4nIz7GRn9mN,Default Response Set,Anonymous,,,204.221.144.162,0,6/6/15 17:20,6/6/15 17:23,1,83076377,1,1,1,1,1,going outside and doing laundry,1,60,100,50,"he may be asking if he should do the laundry while she goes outside, or do it later",1,4,,30,60,50,50,neutral,1,5,2,"Karlstad, MN USA",English,48.76809692,-96.9516983,-1
int_2,rise_100,R_2PCpHCJ5PA4SHYK,Default Response Set,Anonymous,,,96.227.150.228,0,6/6/15 17:26,6/6/15 17:36,1,32875318,1,1,1,1,1,friends or laundry,1,40,87,61,No,1,4,,0,50,100,100,"friendly, optimisitic, not snobbish, easy-going, responsible, good negotiator, fair, honest, open, kind, understanding, curious",1,3,1,"Philadelphia, PA, USA",English,40.0124054,-75.14710236,-1
int_2,rise_100,R_3imaP6vOtXpanMa,Default Response Set,Anonymous,,,76.123.109.83,0,6/6/15 20:33,6/6/15 20:35,1,34414024,1,1,1,1,1,"Outside, friends, laundry",1,0,100,100,,1,3,100,51,0,50,40,,1,2,1,Abbotstown,English,30.27929688,-81.58509827,-1
int_2,rise_100,R_21v7JmyRJ12kIJd,Default Response Set,Anonymous,,,72.87.179.199,0,6/7/15 0:58,6/7/15 1:07,1,76931938,1,1,1,1,1,fun or work,1,40,40,30,No,1,4,,0,0,100,99,"friendly, kind",1,5,1,"Twin Peaks, CA",English,34.10189819,-117.2761993,-1
int_1,rise_100,R_1IgCdgjhhYqSUkB,Default Response Set,Anonymous,,,173.217.128.202,0,6/5/15 11:33,6/5/15 11:35,1,36876452,1,1,1,1,1,Fabric Softener,1,85,72,0,None,1,4,17,0,39,73,73,None,1,2,2,"Pineville, Louisiana",English,31.28840637,-92.38800049,-1
int_1,rise_100,R_OlOVdRCGcr9oKNX,Default Response Set,Anonymous,,,76.77.232.227,0,6/5/15 11:33,6/5/15 11:36,1,10662927,1,1,1,1,1,fabric softener,1,9,65,89,I cannot,1,2,12,8,4,99,78,friendly,1,4,1,edwardsville,english,39.0164032,-89.78109741,-1
int_1,rise_100,R_2s0yCep4jw9PTIY,Default Response Set,Anonymous,,,75.150.37.61,0,6/5/15 11:32,6/5/15 11:36,1,51352660,1,1,1,1,1,using fabric softener,1,81,43,14,No,1,4,11,1,8,83,2,respectful,1,2,1,"Ashland, Oregon","English, Spanish",44.06900024,-123.0825043,-1
int_1,rise_100,R_3j1IN1cOCRkktTX,Default Response Set,Anonymous,,,162.200.49.7,0,6/5/15 11:33,6/5/15 11:39,1,20699064,1,1,1,1,1,The speakers are talking about fabric softner.  The other speaker asked if she wanted to do the laundry.,1,80,41,50,How about we do the laundry?,1,2,98,0,0,93,100,"friendly, kind",1,5,1,Memphis,English,34.62989807,-88.57109833,-1
int_1,rise_100,R_3oENjHMq1o2ATFj,Default Response Set,Anonymous,,,99.103.198.99,0,6/5/15 11:35,6/5/15 11:39,1,97671638,1,1,1,1,1,fabric softener,1,15,,,,1,4,,,30,,,,1,5,1,"San Jose, CA","English, Spanish",37.32389832,-121.9143982,-1
int_1,rise_100,R_2Vf2TrCCjJXzJck,Default Response Set,Anonymous,,,76.122.171.147,0,6/5/15 11:41,6/5/15 11:44,1,52805268,1,1,1,1,1,laundry,1,60,100,65,,1,4,,0,23,75,70,,1,2,1,"Grand Rapids, MI",English,42.98880005,-85.4641037,-1
int_1,rise_100,R_6Kz4l4WcdIg2p4R,Default Response Set,Anonymous,,,50.164.124.49,0,6/5/15 11:39,6/5/15 11:45,1,29095706,1,1,1,1,1,fabric softener ,1,20,100,2,Are you going to do the laundry right now? ,1,4,,0,0,100,100,"He was attentive, making conversation and showing that he heard what the female said. He was being friendly.",1,5,1,"Harrisburg, Pennsylvania, USA ",English,40.18080139,-77.21389771,-1
int_1,rise_100,R_2VEFaLcoNGI2ON1,Default Response Set,Anonymous,,,173.169.124.65,0,6/5/15 11:52,6/5/15 11:56,1,47848196,1,1,1,1,1,fabric softener,1,20,50,91,why don't you do a load of laundry and see if you like it,1,4,,0,0,100,100,,1,6,1,akron,english,27.93789673,-82.23639679,-1
int_1,rise_100,R_2YfjEOXqxx2I6KH,Default Response Set,Anonymous,,,71.230.91.126,0,6/5/15 11:55,6/5/15 11:59,1,23085017,1,1,1,1,1,fabric softener,1,73,100,32,I am curious as to why you are telling me about the new fabric softener you just bought and am under the impression that you're in the mood to do the laundry.,1,2,94,0,0,100,96,He seems a bit insecure,1,2,2,"Bristol, PA",English,40.14419556,-74.84829712,-1
int_1,rise_100,R_2QfTt3L0Rq7eEwx,Default Response Set,Anonymous,,,54.174.77.195,0,6/5/15 12:13,6/5/15 12:25,1,78259709,1,1,1,1,1,Fabric softener  ,1,0,100,10,Do you want to do the laundry?,1,4,,0,20,100,60,,1,3,2,"Birmingham, AL",English,39.04370117,-77.48750305,-1
int_1,rise_100,R_3qQm8D9wCFtNlL2,Default Response Set,Anonymous,,,74.250.166.50,0,6/5/15 12:59,6/5/15 13:03,1,16858177,1,1,1,1,1,Doing the laundry,1,71,30,30,I cannot think of any more. Seems you covered the possibilities.,1,4,,0,41,81,91,friendly and open.,1,3,1,Seattle,English,35.39019775,-82.37249756,-1
int_1,rise_100,R_22LkRdN3RuJEMBy,Default Response Set,Anonymous,,,104.173.52.229,0,6/5/15 14:10,6/5/15 14:15,1,99371738,1,1,1,1,1,The female bought a new fabric softener and the male wants to know if she wants to do laundry.,1,1,1,100,"Nope, sounds like he wants her to do it.",1,4,,1,30,10,50,passive/aggressive. ,1,5,1,Los Angeles,English,33.73609924,-117.0583038,-1
int_1,rise_100,R_1d0iWtSGFzvQJCL,Default Response Set,Anonymous,,,66.196.14.31,0,6/5/15 16:35,6/5/15 16:40,1,55835538,1,1,1,1,1,fabric softener smell,1,60,40,81,want to do my laundry?,1,4,,10,50,87,91,Joker,1,5,1,Belton,English,31.04499817,-97.50869751,-1
int_1,rise_100,R_2YtgDOI87o0e5MG,Default Response Set,Anonymous,,,73.131.129.55,0,6/5/15 18:49,6/5/15 18:55,1,88231445,1,1,1,1,1,Doing the laundry,1,90,71,7,He is trying to accomodate the female by doing what she wants to do.,1,4,,9,50,92,90,friendly and willing to help out around the house,1,6,1,Newport News,English,32.91830444,-80.68789673,-1
int_1,rise_100,R_2SeRMjDKnifDzwK,Default Response Set,Anonymous,,,75.64.240.173,0,6/5/15 19:33,6/5/15 19:41,1,65058688,1,1,1,1,1,fabric softener; laundry,1,50,92,9,"He could have been speaking facetiously, like ""Do you want to do the laundry instead of yapping at me about it?""",1,4,71,0,0,95,89,"optomistic, positive, gregarious, easily entertained,  meticulous, optimistic,  affable, amiable",1,2,1,memphis,"english, american sign language",35.17869568,-89.75650024,-1
int_1,rise_100,R_1Pc2PbM4U1X3N5v,Default Response Set,Anonymous,,,75.69.1.236,0,6/5/15 20:24,6/5/15 20:32,1,42274378,1,1,1,1,1, new fabric softner,1,90,22,8,you can do the laundry,1,4,,9,12,90,92,"kind, considerate, helpful, willing",1,4,1,"Winter Park, Florida",English,43.64450073,-72.90049744,-1
int_1,rise_100,R_3kh9AZsAODg9dvV,Default Response Set,Anonymous,,,100.2.160.14,0,6/5/15 20:27,6/5/15 20:40,1,61686632,1,1,1,1,1,Using fabric softener,1,82,91,62,"If you really think that, then go do the laundry now",1,2,41,8,23,73,59,That he digs the chick,1,4,2,New York,English,40.76939392,-73.96089935,-1
int_1,rise_100,R_w1YLCOvsMuFgMlr,Default Response Set,Anonymous,,,71.181.160.217,0,6/5/15 21:02,6/5/15 21:06,1,92971018,1,1,1,1,1,fabric softener,1,60,50,40,,1,4,,0,0,100,50,no,1,3,2,wilkes barre,english,41.18800354,-75.38040161,-1
int_1,rise_100,R_R48ty5ix9K5Hsk1,Default Response Set,Anonymous,,,24.220.144.204,0,6/5/15 22:04,6/5/15 22:07,1,35020935,1,1,1,1,1,using fabric softener,1,81,49,51,no,1,4,,0,30,81,89,he seemed friendly like he wanted to do the laundry with her,1,4,2,siioux falls,english,43.51899719,-96.73220062,-1
int_1,rise_100,R_3JlMg4sA6Qccn1j,Default Response Set,Anonymous,,,173.22.154.50,0,6/6/15 0:50,6/6/15 0:59,1,45869765,1,1,1,1,1, fabric softener,1,55,85,50,no,1,4,70,0,50,80,80,"friendly, laid back",1,4,1,Columbia,English,38.88169861,-92.40200043,-1
int_1,rise_100,R_2WNoris0oFJKucz,Default Response Set,Anonymous,,,98.232.51.210,0,6/6/15 1:29,6/6/15 1:33,1,40293248,1,1,1,1,1,fabric softener laundry,1,30,91,85,He wants to seem like he is interested in her conversation so suggests doing the laundry.,1,2,70,0,20,41,70,"sounds a little irritated, not friendly",1,3,1,"Lynnwood, wa",english,47.46369934,-122.213501,-1
int_1,rise_100,R_1M6cFKqAKYUw1Ia,Default Response Set,Anonymous,,,100.3.163.198,0,6/6/15 4:31,6/6/15 4:34,1,60389104,1,1,1,1,1,Doing laundry,1,70,90,30,,1,4,,5,5,90,80,,1,3,2,"Tampa, FL",English,27.915802,-82.22899628,-1
int_1,rise_100,R_3R2FLImRj1dXwvs,Default Response Set,Anonymous,,,97.118.16.2,0,6/6/15 6:10,6/6/15 6:13,1,85791142,1,1,1,1,1,Fabric softener,1,85,79,76,No,1,2,94,16,59,100,94,Friendly ,1,3,1,"Canton, oh","English, french",39.74279785,-104.8996964,-1
int_1,rise_100,R_OwiHsAkQoAUn73z,Default Response Set,Anonymous,,,68.109.49.113,0,6/6/15 7:28,6/6/15 7:33,1,84226476,1,1,1,1,1,fabric softner,1,50,50,100,Let's try it out.,1,2,100,0,100,100,100,none,1,4,1,Fort Myers,English,32.77760315,-83.68019867,-1
int_1,rise_100,R_OvWGCSViYvAk55T,Default Response Set,Anonymous,,,24.196.164.55,0,6/6/15 8:20,6/6/15 8:24,1,34350754,1,1,1,1,1,Fabric softener and laundry,1,10,20,80,Let's try out this product by doing the laundry,1,2,79,0,30,70,65,"No, I did not.",1,2,2,North Carolina,English,35.61000061,-80.98819733,-1
int_1,rise_100,R_DDcLTT1JrAdG4AV,Default Response Set,Anonymous,,,107.194.148.201,0,6/6/15 9:12,6/6/15 9:19,1,46306291,1,1,1,1,1,A new batch of fabric softener.,1,50,40,30,"It's my job to do the laundry today, but, I wish you would do the laundry.",1,4,,10,30,20,90,Sarcasm.,1,4,2,Rome,English,39.82510376,-82.79579926,-1
int_1,rise_100,R_4Si1fNqQWfWCMTv,Default Response Set,Anonymous,,,216.66.74.22,0,6/6/15 9:52,6/6/15 9:54,1,12292318,1,1,1,1,1,new fabric softner,1,0,50,0,go ahead and try it out now.,1,4,,0,0,100,91,"friendly, caring, helpful",1,4,1,dallas,english,31.62860107,-97.09889984,-1
int_1,rise_100,R_3njkejkNUgSlTmx,Default Response Set,Anonymous,,,64.134.224.15,0,6/6/15 10:26,6/6/15 10:29,1,66480976,1,1,1,1,1,laundry fabric softner,1,9,4,23,You should try it out on the laundry.,1,4,31,0,18,47,87,"friendly, not bossy",1,2,1,"yorktown, va",english,38,-97,-1
int_1,rise_100,R_1rIbuH6cNrthwT2,Default Response Set,Anonymous,,,173.209.69.250,0,6/6/15 11:06,6/6/15 11:09,1,83820594,1,1,1,1,1,laundry and fabric softener,1,94,100,36,no,1,4,,6,21,70,84,"friendly, helpful",1,5,2,"Mercedes, Texas","English, Spanish",26.18840027,-97.92320251,-1
int_1,rise_100,R_C3qMDgqpSVJvNbr,Default Response Set,Anonymous,,,73.50.176.182,0,6/6/15 12:38,6/6/15 12:43,1,44432097,1,1,1,1,1,fabric softener,1,60,40,10,I thought it possible that he was really asking her if she wanted him to do the laundry.,1,4,,0,50,100,100,I felt that he had a good relationship with the female. He seemed like the kind of man who would help with the laundry.,1,4,1,"Chicago, IL",English,41.69659424,-87.66369629,-1
no_int,rise_100,R_2TQKFCw6ZcUks5G,Default Response Set,Anonymous,,,73.55.155.27,0,5/18/15 17:03,5/18/15 17:06,1,13191147,1,1,1,1,1,Do you want to do the laundry?,1,0,50,40,Would you like to do the laundry?,1,4,,10,65,41,90,"not snobbish, optimistic, questioning",1,2,1,Houston,English,29.83270264,-95.66269684,-1
no_int,rise_100,R_2Ui5VMFZ1O0OFYP,Default Response Set,Anonymous,,,75.16.188.185,0,5/18/15 17:19,5/18/15 17:21,1,75525778,1,1,1,1,1,Do you want to do the laundry?,1,50,51,0,,1,4,,5,30,70,60,,1,3,2,Dallas,English,32.94799805,-96.8132019,-1
no_int,rise_100,R_RCuZV5WCZuvcOid,Default Response Set,Anonymous,,,68.44.27.97,0,5/18/15 18:29,5/18/15 18:34,1,50425887,1,1,1,1,1,Do you wanna do the laundry?,1,8,98,2,,1,4,52,16,40,82,80,It was in a friendly tone,1,5,1,"Anderson,Indiana",English,40.15379333,-85.62129974,-1
no_int,rise_100,R_2TzrXBSOogFOlw9,Default Response Set,Anonymous,,,162.199.147.48,0,5/18/15 18:30,5/18/15 18:35,1,84303585,1,1,1,1,1,Do you want to do the laundry?,1,65,29,29,no,1,4,,2,19,88,91,no,1,3,2,"Buffalo, NY",english,43.06109619,-89.40670013,-1
no_int,rise_100,R_3RwT5FiZwcoK9D4,Default Response Set,Anonymous,,,68.43.110.8,0,5/18/15 19:06,5/18/15 19:12,1,41198873,1,1,1,1,1,Do you want to do the laundry?,1,60,99,25,,1,4,16,3,7,100,90,just friendly and courteous,1,5,1,"detroit, michigan","english, understand a little spanish and italian",42.10150146,-84.22589874,-1
no_int,rise_100,R_1PYFP33X27dSYam,Default Response Set,Anonymous,,,64.18.96.200,0,5/18/15 19:31,5/18/15 19:33,1,75966142,1,1,1,1,1,DO YOU WANNA DO THE LAUNDRY,1,80,100,85,,1,4,,61,64,26,23,,1,3,1,"COLUMBUS, OH",ENGLISH,34.8914032,-85.12069702,-1
no_int,rise_100,R_3dSdhz0XVL7Czsl,Default Response Set,Anonymous,,,184.63.91.240,0,5/18/15 21:37,5/18/15 21:39,1,94137091,1,1,1,1,1,do you want to do the laundry,1,10,81,25,no,1,4,47,14,26,85,80,no,1,2,2,keatchie,english,32.30709839,-96.00659943,-1
no_int,rise_100,R_8ppUV0JnDBH9jNf,Default Response Set,Anonymous,,,50.148.52.246,0,5/18/15 21:58,5/18/15 21:59,1,39408961,1,1,1,1,1,Do you wanna do the laundry?,1,64,71,29,No,1,4,,31,44,26,75,No,1,2,2,Chicago,"English, Spanish, Chinese, Portugese",42.05619812,-87.70110321,-1
no_int,rise_100,R_22Qb5iPW6pEzgEz,Default Response Set,Anonymous,,,73.193.86.128,0,5/19/15 0:34,5/19/15 0:37,1,45912595,1,1,1,1,1,Do you want to do the laundry?,1,20,100,0,Do you want the laundry to be done?,1,4,,0,0,100,90,"friendly, cooperative",1,6,1,Seattle,English,47.55130005,-122.3740997,-1
no_int,rise_100,R_23Zv1KYydivtGOw,Default Response Set,Anonymous,,,72.14.110.43,0,5/19/15 7:15,5/19/15 7:18,1,40539655,1,1,1,1,1,Do you want to do the laundry?,1,61,81,47,I can't think of any other interpretations.,1,4,,32,30,60,55,cooperative,1,3,2,"Benton, KY",English,36.63549805,-88.28299713,-1
no_int,rise_100,R_oYLphsmyDYjbYdj,Default Response Set,Anonymous,,,65.189.62.217,0,5/19/15 8:10,5/19/15 8:13,1,50672816,1,1,1,1,1,Do you want to do the laundry?,1,30,80,60,,1,4,,8,30,68,73,,1,3,2,Cincinnati,English,39.16389465,-84.45159912,-1
no_int,rise_100,R_3rrAzwOm83BCAkp,Default Response Set,Anonymous,,,69.140.137.142,0,5/19/15 10:27,5/19/15 10:29,1,14484653,1,1,1,1,1,Do you want to do the laundry?,1,60,60,19,,1,2,60,0,9,81,80,"friendly, optimistic",1,3,2,Los Angeles,English,39.20579529,-76.7480011,-1
no_int,rise_100,R_3CUecNjYhl7TDcw,Default Response Set,Anonymous,,,76.93.145.85,0,5/20/15 8:10,5/20/15 8:13,1,14679477,1,1,1,1,1,Do you want to do the wanderer,1,61,71,34,Are you ready to do the laundry?,1,4,,22,26,76,74,"first impression, mild mannered",1,6,2,"San Diego, CA",English,32.82150269,-117.0843964,-1
no_int,rise_100,R_3GjglZCcEkWEKzs,Default Response Set,Anonymous,,,69.14.122.194,0,5/20/15 14:27,5/20/15 14:29,1,94840490,1,1,1,1,1,Do you want to do the laundry?,1,49,63,36,,1,4,66,12,54,86,74,,1,4,2,detroit,english,42.60049438,-83.11959839,-1
